           n            f          f.x          f.y          f.z           fi         fi.x         fi.y         fi.z            u          u.x          u.y          u.z 
          69            0            0            0            0  2.60794e-13  2.84217e-14  9.40359e-14 -2.41585e-13   0.00177835 -0.000178094  3.56172e-05   0.00176905
          70            0            0            0            0  1.59089e-13  1.13687e-13  9.56735e-14 -5.68434e-14   0.00178127 -0.000178088  0.000106847   0.00176912
          71            0            0            0            0   5.0243e-14  2.84217e-14  3.55271e-14  2.13163e-14   0.00178719 -0.000178089  0.000178089   0.00176935
          72            0            0            0            0  1.53056e-13  5.68434e-14            0 -1.42109e-13   0.00164485 -0.000177996 -0.000177996   0.00162548
          73            0            0            0            0  1.58028e-13  5.68434e-14 -3.93297e-14 -1.42109e-13   0.00163847 -0.000178103 -0.000106811   0.00162525
          74            0            0            0            0  1.76214e-13  4.26326e-14 -1.23859e-14  -1.7053e-13   0.00163527 -0.000178187 -3.56087e-05   0.00162515
          75            0            0            0            0  1.51391e-13 -1.13687e-13 -9.95037e-15  -9.9476e-14   0.00163527 -0.000178187  3.56087e-05   0.00162515
          76            0            0            0            0  1.35186e-13 -4.26326e-14  9.99201e-15 -1.27898e-13   0.00163847 -0.000178103  0.000106811   0.00162525
          77            0            0            0            0  2.92964e-14 -2.84217e-14 -7.10543e-15            0   0.00164485 -0.000177996  0.000177996   0.00162548
          78            0            0            0            0  1.80035e-13   4.9738e-14 -5.68434e-14 -1.63425e-13   0.00150296 -0.000177852 -0.000177852   0.00148176
          79            0            0            0            0  2.21302e-13  4.26326e-14 -1.34448e-13  -1.7053e-13   0.00149593 -0.000178078 -0.000106745   0.00148145
          80            0            0            0            0  2.78179e-13  -9.9476e-14 -1.25656e-13 -2.27374e-13   0.00149238 -0.000178245 -3.55905e-05   0.00148127
          81            0            0            0            0  2.25311e-13 -7.10543e-14  -1.2898e-13  -1.7053e-13   0.00149238 -0.000178245  3.55905e-05   0.00148127
          82            0            0            0            0  1.94631e-13 -1.20792e-13  -1.1724e-13 -9.76996e-14   0.00149593 -0.000178078  0.000106745   0.00148145
          83            0            0            0            0  1.26558e-13  -9.9476e-14  -4.9738e-14 -6.03961e-14   0.00150296 -0.000177852  0.000177852   0.00148176
          84            0            0            0            0  1.77529e-13  7.10543e-15 -1.49214e-13 -9.59233e-14   0.00136164 -0.000177608 -0.000177608   0.00133827
          85            0            0            0            0  2.82405e-13 -2.84217e-14  -2.0528e-13 -1.91847e-13   0.00135378 -0.000177995 -0.000106623   0.00133779
          86            0            0            0            0  2.80325e-13 -1.42109e-14 -2.41217e-13 -1.42109e-13   0.00134976 -0.000178266 -3.55551e-05   0.00133747
          87            0            0            0            0  3.14876e-13 -1.13687e-13 -2.45137e-13 -1.61648e-13   0.00134976 -0.000178266  3.55551e-05   0.00133747
          88            0            0            0            0  3.24544e-13 -1.84741e-13 -2.66454e-13  1.42109e-14   0.00135378 -0.000177995  0.000106623   0.00133779
          89            0            0            0            0  2.02224e-13 -1.42109e-13 -1.35003e-13   4.9738e-14   0.00136164 -0.000177608  0.000177608   0.00133827
          90            0            0            0            0  2.05628e-13  3.55271e-14 -1.59872e-13 -1.24345e-13   0.00122112 -0.000177192 -0.000177192   0.00119514
          91            0            0            0            0  3.44669e-13 -4.26326e-14 -3.22575e-13 -1.13687e-13    0.0012122 -0.000177811 -0.000106407   0.00119435
          92            0            0            0            0  3.83048e-13 -4.26326e-14 -3.53148e-13 -1.42109e-13   0.00120757 -0.000178223 -3.54905e-05   0.00119382
          93            0            0            0            0  3.89638e-13 -1.45661e-13  -3.4639e-13 -1.03029e-13   0.00120757 -0.000178223  3.54905e-05   0.00119382
          94            0            0            0            0  4.25885e-13 -1.84741e-13 -3.78364e-13 -6.39488e-14    0.0012122 -0.000177811  0.000106407   0.00119435
          95            0            0            0            0  2.54658e-13  -1.7053e-13 -1.88294e-13 -1.77636e-14   0.00122112 -0.000177192  0.000177192   0.00119514
